run_id,model_alias,model_name,method_name,dataset_name,sample_count,accuracy,avg_response_length_tokens,avg_response_length_chars,avg_score_i,joint_score,mean_sample_score,mean_efficiency_on_correct,correct_count,total_count,mean_length_factor_on_correct,mean_answer_factor_on_correct,mean_reflection_factor_on_correct,mean_count_factor_on_correct,mean_tail_factor_on_correct,source_file
20260424_094605,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_few_shot,aime2024,30,0.3333333333333333,7818.066666666667,38103.46666666667,3.287762709165665e-05,3.287762709165665e-05,3.287762709165665e-05,9.863288127496995e-05,10,30,0.05518347605089749,0.003684215186337228,6.427528781597207e-12,0.006495996438370726,0.5248260830935912,DeepSeek-R1-Distill-Qwen-1.5B__aime2024__cot_few_shot__20260424_094605.jsonl
20260424_090559,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_zero,aime2024,30,0.4,8495.8,41051.8,2.003692267644259e-05,2.003692267644259e-05,2.003692267644259e-05,5.009230669110647e-05,12,30,0.022759607380788548,0.041402851292572575,1.0785608760382733e-13,0.04285588296841518,0.6904742413145843,DeepSeek-R1-Distill-Qwen-1.5B__aime2024__cot_zero__20260424_090559.jsonl
20260424_101848,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_refine,aime2024,30,0.43333333333333335,354.8333333333333,1744.0666666666666,0.32923323428156565,0.32923323428156565,0.32923323428156565,0.7597690021882284,13,30,1.0,0.8055013665142899,0.5686464977905921,0.8055013665142899,1.0,DeepSeek-R1-Distill-Qwen-1.5B__aime2024__self_refine__20260424_101848.jsonl
20260424_094605,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_few_shot,gsm8k,50,0.92,421.18,2098.98,0.225955842319247,0.225955842319247,0.225955842319247,0.24560417643396412,46,50,0.9736504714828952,0.15109377533173732,0.080306753565627,0.1541523750968828,0.8941347167689888,DeepSeek-R1-Distill-Qwen-1.5B__gsm8k__cot_few_shot__20260424_094605.jsonl
20260424_090559,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_zero,gsm8k,50,0.9,698.4,3531.3,0.25043375563405246,0.25043375563405246,0.25043375563405246,0.27825972848228053,45,50,0.941396746800378,0.44696312172534713,0.03574188588831097,0.47072774290848346,0.7615995285427034,DeepSeek-R1-Distill-Qwen-1.5B__gsm8k__cot_zero__20260424_090559.jsonl
20260424_101848,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_refine,gsm8k,50,0.92,212.24,1138.08,0.5836924190314232,0.5836924190314232,0.5836924190314232,0.6344482815558948,46,50,1.0,0.5476993816963831,0.5471381007154738,0.5509913866638034,0.9040822174800318,DeepSeek-R1-Distill-Qwen-1.5B__gsm8k__self_refine__20260424_101848.jsonl
20260424_094605,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_few_shot,math500,50,0.92,1748.6,8466.12,0.055268514221135503,0.055268514221135503,0.055268514221135503,0.060074471979495114,46,50,0.7642064602359678,0.03127047465540675,0.006565627679676625,0.0401277584609724,0.6443516502140968,DeepSeek-R1-Distill-Qwen-1.5B__math500__cot_few_shot__20260424_094605.jsonl
20260424_090559,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,cot_zero,math500,50,0.9,2080.0,10609.22,0.04969140464320909,0.04969140464320909,0.04969140464320909,0.05521267182578788,45,50,0.664268375585385,0.10340353809940642,0.0034031483911866746,0.13647968051489662,0.5301283672871113,DeepSeek-R1-Distill-Qwen-1.5B__math500__cot_zero__20260424_090559.jsonl
20260424_101848,DeepSeek-R1-Distill-Qwen-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,self_refine,math500,50,0.88,258.76,1316.68,0.6474395696549585,0.6474395696549585,0.6474395696549585,0.7357267836988165,44,50,1.0,0.7070401482819175,0.6135960812262545,0.7191940909363469,0.9320390416706229,DeepSeek-R1-Distill-Qwen-1.5B__math500__self_refine__20260424_101848.jsonl
20260424_095215,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_few_shot,aime2024,30,0.0,4336.0,23150.066666666666,0.0,0.0,0.0,0.0,0,30,0.0,0.0,0.0,0.0,0.0,Qwen2.5-Math-1.5B-Instruct__aime2024__cot_few_shot__20260424_095215.jsonl
20260424_093122,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,cot_zero,aime2024,30,0.1,4355.266666666666,20538.466666666667,0.09682791393453198,0.09682791393453198,0.09682791393453198,0.9682791393453198,3,30,1.0,1.0,0.8688435532375445,1.0,1.0,Qwen2.5-Math-1.5B-Instruct__aime2024__cot_zero__20260424_093122.jsonl
20260424_104452,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_consistency,aime2024,30,0.06666666666666667,1225.4666666666667,6583.766666666666,0.05355102199042112,0.05355102199042112,0.05355102199042112,0.8032653298563167,2,30,1.0,0.6839397205857212,0.6839397205857212,0.6839397205857212,1.0,Qwen2.5-Math-1.5B-Instruct__aime2024__self_consistency__20260424_104452.jsonl
20260424_101943,Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,self_refine,aime2024,30,0.03333333333333333,344.5,1799.6,0.03016124726786532,0.03016124726786532,0.03016124726786532,0.9048374180359595,1,30,1.0,1.0,0.6065306597126334,1.0,1.0,Qwen2.5-Math-1.5B-Instruct__aime2024__self_refine__20260424_101943.jsonl
